,class,name,alias
,組織文化與制度,產業前景,競爭|策略|產業前景|前景|市場份額|消費者需求|技術|盈利|商業模式|市佔率|品牌形象|行業競爭|市場需求|市場規模|技術研發|產業結構|經濟變化|進入障礙|重組|併購|產品市佔率
,組織文化與制度,多元性,認知|地域|外語|雙語|國籍|性向平等|身心障礙|性別平等|多元文化|多元性別|種族|民族|族裔|年齡|教育|宗教|文化差異|認知差異|技術差異
,組織文化與制度,企業社會責任,社會責任|財務責任|員工福利責任|社會福利責任|品質責任|環境責任|經濟責任|法律責任|倫理責任|慈善責任
,組織文化與制度,企業永續目標,永續目標|經濟效益|社會福利|社區參與|人權保護|碳足跡|環境保護|社會責任|公司治理
,組織文化與制度,變化性,海外|派遣|外派|短期派任|中長期派任|長期派任|通勤式派任|輪調式派任|契約式派任|虛擬式派任|自發性派任|輪調|支援|計畫性輪調|非計畫性輪調|部門輪調|職務輪調|出差|國內出差|國外出差|公差旅費
5,科系專業,工學院,資管|電資|電機系|電子系|資工|機械系|機電系|動力機械|製造系|製程|車輛工程|車輛檢測|品管|品檢|品質|品質管理|品質工程|土木系|航太|工工|工業工程|材料系|建築系
,科系專業,理學院,數學系|物理系|化學系|大氣科學|大氣系|生物學系|生物系|天文系|地球科學|地科|統計系|環境科學|應數|應用數學
,科系專業,管理學院/商學院,企管|會計系|財經系|國企|經濟系|人力資源|國際貿易|國貿系|金融系|行銷系|運輸管理|運管|餐旅|風險管理系
,科系專業,社會學院,社會系|人文社會|公共行政|民族系|政治系|外交係|法律系|心理系|犯罪學|人類學|社會福利|社會政策
,科系專業,文學院,中文系|外文系|史學系|哲學系|藝術系|戲劇系|音樂系|歷史系|地理系|華語文教|日文系
6,招募資訊,面試,視訊面試|線上面試|一面|二面|面試|初試|初談|複試|複談|筆試|錄取|無聲卡|人才庫
,招募資訊,學經歷,學歷|學經歷|經歷|履歷|做研究|研究計畫|作品集|研究所|大學|碩士班|國立大學|私立大學|科大|頂大|四大|四中
,招募資訊,徵才,應徵|職務|徵才|職缺|求職|就業|找工作
,招募資訊,實習,實習|實習生
,招募資訊,工作,工作
,招募資訊,離職,離職|轉職
,招募資訊,新鮮人,新鮮人
,招募資訊,畢業,畢業
,招募資訊,證照,多益|雅思|托福|全民英檢
,招募資訊,招募人員,副理|面試官|主考官|人資|招募人員|HR|人力資源
